frequency,type,mode,label
462.562500,simplex,FM,GMRS 1
462.587500,simplex,FM,GMRS 2
462.612500,simplex,FM,GMRS 3
462.637500,simplex,FM,GMRS 4
462.662500,simplex,FM,GMRS 5
462.687500,simplex,FM,GMRS 6
462.712500,simplex,FM,GMRS 7
467.562500,simplex,NFM,GMRS 8
467.587500,simplex,NFM,GMRS 9
467.612500,simplex,NFM,GMRS 10
467.637500,simplex,NFM,GMRS 11
467.662500,simplex,NFM,GMRS 12
467.687500,simplex,NFM,GMRS 13
467.712500,simplex,NFM,GMRS 14
462.550000,simplex,FM,GMRS 15
462.575000,simplex,FM,GMRS 16
462.600000,simplex,FM,GMRS 17
462.625000,simplex,FM,GMRS 18
462.650000,simplex,FM,GMRS 19
462.675000,simplex,FM,GMRS 20
462.700000,simplex,FM,GMRS 21
462.725000,simplex,FM,GMRS 22
