frequency,star,type,mode,label,description
156.050000,false,no-tx,FM,"SEA 01","Port Operations and Commercial"
156.250000,false,no-tx,FM,"SEA 05","Port Operations.  VTS in Seattle"
156.300000,false,no-tx,FM,"SEA 06","Intership Safety"
156.350000,false,no-tx,FM,"SEA 07","Commercial"
156.400000,false,no-tx,FM,"SEA 08","Commercial (Intership only)"
156.450000,true,no-tx,FM,"SEA 09","Boater Calling.  Commercial and Non-Commercial."
156.500000,false,no-tx,FM,"SEA 10","Commercial"
156.550000,false,no-tx,FM,"SEA 11","Commercial.  VTS in selected areas."
156.600000,false,no-tx,FM,"SEA 12","Port Operations.  VTS in selected areas."
156.650000,true,no-tx,FM,"SEA 13","Intership Navigation Safety (Bridge-to-bridge).  Ships >20m length maintain a listening watch on this channel in US waters."
156.700000,false,no-tx,FM,"SEA 14","Port Operations.  VTS in selected areas."
156.750000,false,no-tx,FM,"SEA 15","Environmental (Receive only).  Used by Class C EPIRBs."
156.800000,true,no-tx,FM,"SEA 16","International Distress, Safety and Calling.  Ships required to carry radio, USCG, and most coast stations maintain a listening watch on this channel."
156.850000,false,no-tx,FM,"SEA 17","State Control"
156.900000,false,no-tx,FM,"SEA 18","Commercial"
156.950000,false,no-tx,FM,"SEA 19","Commercial"
157.000000,false,no-tx,FM,"SEA 20","Port Operations (duplex)"
157.050000,false,no-tx,FM,"SEA 21","Port Operations"
157.100000,true,no-tx,FM,"SEA 22","Coast Guard Liaison and Maritime Safety Information Broadcasts. Broadcasts announced on channel 16."
157.150000,false,no-tx,FM,"SEA 23","U.S. Government only"
157.200000,false,no-tx,FM,"SEA 24","Public Correspondence (Marine Operator)"
157.250000,false,no-tx,FM,"SEA 25","Public Correspondence (Marine Operator)"
157.300000,false,no-tx,FM,"SEA 26","Public Correspondence (Marine Operator)"
157.350000,false,no-tx,FM,"SEA 27","Public Correspondence (Marine Operator)"
157.400000,false,no-tx,FM,"SEA 28","Public Correspondence (Marine Operator)"
156.175000,false,no-tx,FM,"SEA 63","Port Operations and Commercial. VTS in selected areas."
156.275000,false,no-tx,FM,"SEA 65","Port Operations"
156.325000,false,no-tx,FM,"SEA 66","Port Operations"
156.375000,true,no-tx,FM,"SEA 67","Commercial.  Used for Bridge-to-bridge communications in lower Mississippi River.  Intership only."
156.425000,false,no-tx,FM,"SEA 68","Non-Commercial-Working Channel"
156.475000,false,no-tx,FM,"SEA 69","Non-Commercial"
156.525000,false,no-tx,FM,"DSC 70","Digital Selective Calling (voice communications not allowed)"
156.575000,false,no-tx,FM,"SEA 71","Non-Commercial"
156.625000,false,no-tx,FM,"SEA 72","Non-Commercial (Intership only)"
156.675000,false,no-tx,FM,"SEA 73","Port Operations"
156.725000,false,no-tx,FM,"SEA 74","Port Operations"
156.875000,false,no-tx,FM,"SEA 77","Port Operations"
156.925000,false,no-tx,FM,"SEA 78","Non-Commercial"
156.975000,false,no-tx,FM,"SEA 79","Commercial"
157.025000,false,no-tx,FM,"SEA 80","Commercial"
157.075000,false,no-tx,FM,"SEA 81","U.S. Government only - Environmental Protection Operations"
157.125000,false,no-tx,FM,"SEA 82","U.S. Government only"
157.175000,false,no-tx,FM,"SEA 83","U.S. Government only"
157.225000,false,no-tx,FM,"SEA 84","Public Correspondence (Marine Operator)"
157.275000,false,no-tx,FM,"SEA 85","Public Correspondence (Marine Operator)"
157.325000,false,no-tx,FM,"SEA 86","Public Correspondence (Marine Operator)"
157.375000,false,no-tx,FM,"SEA 87","Public Correspondence (Marine Operator)"
157.425000,false,no-tx,FM,"SEA 88","Public Correspondence in selected areas only."
161.975000,false,no-tx,FM,"AIS 1",""
162.025000,false,no-tx,FM,"AIS 2",""
